"","test_samples","predictions","test_samples","predictions","test_samples","predictions","test_samples","predictions","test_samples","predictions","test_samples","predictions","test_samples","predictions","test_samples","predictions","test_samples","predictions","test_samples","predictions","test_samples","predictions"
"1","SRR8477381","0","SRR8477377","0","SRR8477378","0","SRR8477378","0","SRR8477378","0","SRR8477378","0","SRR8477378","0","SRR8477386","0","SRR8477378","0","SRR8477378","0","SRR8477378","0"
"2","SRR8477391","0","SRR8477384","0","SRR8477381","0","SRR8477381","0","SRR8477381","0","SRR8477381","0","SRR8477381","0","SRR8477388","0","SRR8477392","0","SRR8477386","0","SRR8477386","0"
"3","SRR8477393","0","SRR8477389","0","SRR8477383","0","SRR8477383","0","SRR8477383","0","SRR8477383","0","SRR8477385","1","SRR8477390","0","SRR8477393","0","SRR8477394","0","SRR8477394","0"
"4","SRR8477403","0","SRR8477391","0","SRR8477385","1","SRR8477385","0","SRR8477385","0","SRR8477385","0","SRR8477389","1","SRR8477400","0","SRR8477406","0","SRR8477396","0","SRR8477396","0"
"5","SRR8477405","0","SRR8477394","0","SRR8477390","0","SRR8477390","0","SRR8477390","0","SRR8477390","0","SRR8477401","0","SRR8477403","0","SRR8477408","0","SRR8477399","0","SRR8477399","0"
"6","SRR8477406","0","SRR8477398","0","SRR8477400","0","SRR8477400","0","SRR8477400","0","SRR8477400","0","SRR8477403","0","SRR8477409","0","SRR8477412","0","SRR8477401","0","SRR8477401","0"
"7","SRR8477416","1","SRR8477399","0","SRR8477403","0","SRR8477403","0","SRR8477403","0","SRR8477403","0","SRR8477408","0","SRR8477415","1","SRR8477414","0","SRR8477403","0","SRR8477403","0"
"8","SRR8477419","1","SRR8477401","0","SRR8477406","0","SRR8477406","0","SRR8477406","0","SRR8477406","0","SRR8477409","0","SRR8477420","1","SRR8477417","1","SRR8477405","0","SRR8477405","0"
"9","SRR8477430","1","SRR8477407","0","SRR8477409","0","SRR8477409","0","SRR8477409","0","SRR8477409","0","SRR8477414","0","SRR8477424","1","SRR8477425","1","SRR8477408","0","SRR8477408","0"
"10","SRR8477447","1","SRR8477411","0","SRR8477410","0","SRR8477410","1","SRR8477410","0","SRR8477410","0","SRR8477420","0","SRR8477425","1","SRR8477428","1","SRR8477410","0","SRR8477410","0"
"11","SRR8477450","1","SRR8477416","1","SRR8477412","0","SRR8477412","1","SRR8477412","0","SRR8477412","0","SRR8477446","0","SRR8477443","1","SRR8477433","1","SRR8477425","1","SRR8477425","1"
"12","SRR8477456","0","SRR8477421","1","SRR8477413","0","SRR8477413","1","SRR8477413","0","SRR8477413","0","SRR8477454","0","SRR8477447","1","SRR8477434","1","SRR8477430","1","SRR8477430","1"
"13","SRR8477457","0","SRR8477424","1","SRR8477416","0","SRR8477416","1","SRR8477416","1","SRR8477416","1","SRR8477459","0","SRR8477478","0","SRR8477444","1","SRR8477434","1","SRR8477434","1"
"14","SRR8477468","0","SRR8477426","1","SRR8477420","0","SRR8477420","1","SRR8477420","1","SRR8477420","1","SRR8477461","0","SRR8477481","0","SRR8477445","1","SRR8477438","1","SRR8477438","1"
"15","SRR8477478","0","SRR8477436","1","SRR8477426","0","SRR8477426","1","SRR8477426","1","SRR8477426","1","SRR8477462","0","SRR8477484","0","SRR8477446","1","SRR8477450","1","SRR8477450","1"
"16","SRR8477479","0","SRR8477439","1","SRR8477432","0","SRR8477432","0","SRR8477432","1","SRR8477432","1","SRR8477465","0","SRR8477487","0","SRR8477454","1","SRR8477462","0","SRR8477462","0"
"17","SRR8477490","0","SRR8477440","1","SRR8477436","1","SRR8477436","1","SRR8477436","1","SRR8477436","1","SRR8477482","0","SRR8477488","0","SRR8477465","0","SRR8477468","0","SRR8477468","0"
"18","SRR8477493","0","SRR8477443","1","SRR8477439","1","SRR8477439","1","SRR8477439","1","SRR8477439","1","SRR8477485","0","SRR8477494","1","SRR8477467","0","SRR8477470","0","SRR8477470","0"
"19","SRR8477497","1","SRR8477445","1","SRR8477451","0","SRR8477451","1","SRR8477451","1","SRR8477451","1","SRR8477487","0","SRR8477495","1","SRR8477472","0","SRR8477473","0","SRR8477473","0"
"20","SRR8477500","1","SRR8477455","0","SRR8477469","0","SRR8477469","0","SRR8477469","0","SRR8477469","0","SRR8477501","0","SRR8477501","1","SRR8477487","0","SRR8477474","0","SRR8477474","0"
"21","SRR8477501","1","SRR8477459","0","SRR8477470","0","SRR8477470","0","SRR8477470","0","SRR8477470","0","SRR8477504","0","SRR8477503","1","SRR8477496","1","SRR8477484","0","SRR8477484","0"
"22","SRR8477502","1","SRR8477481","0","SRR8477484","0","SRR8477484","0","SRR8477484","0","SRR8477484","0","SRR8477508","0","SRR8477504","1","SRR8477497","1","SRR8477485","0","SRR8477485","0"
"23","SRR8477503","1","SRR8477482","0","SRR8477486","0","SRR8477486","0","SRR8477486","0","SRR8477486","0","SRR8477514","1","SRR8477507","1","SRR8477503","1","SRR8477487","0","SRR8477487","0"
"24","SRR8477505","1","SRR8477488","0","SRR8477493","0","SRR8477493","1","SRR8477493","0","SRR8477493","0","SRR8477516","1","SRR8477508","1","SRR8477515","1","SRR8477495","1","SRR8477495","1"
"25","SRR8477520","1","SRR8477493","0","SRR8477499","0","SRR8477499","1","SRR8477499","1","SRR8477499","1","SRR8477521","0","SRR8477509","1","SRR8477516","1","SRR8477499","1","SRR8477499","1"
"26","SRR8477526","1","SRR8477496","1","SRR8477501","0","SRR8477501","1","SRR8477501","1","SRR8477501","1","SRR8477524","0","SRR8477521","1","SRR8477525","1","SRR8477508","1","SRR8477508","1"
"27","SRR8477530","1","SRR8477501","1","SRR8477514","1","SRR8477514","0","SRR8477514","1","SRR8477514","1","SRR8477530","0","SRR8477528","1","SRR8477527","1","SRR8477516","1","SRR8477516","1"
"28","SRR8477541","0","SRR8477502","1","SRR8477520","0","SRR8477520","1","SRR8477520","1","SRR8477520","1","SRR8477532","0","SRR8477533","1","SRR8477531","1","SRR8477517","1","SRR8477517","1"
